,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
0610005C13Rik,1588.568688,1325.15623,1843.73307,1189.699487,2558.56495,1864.904751,1597.95094,911.3298695,1380.21434,1121.52726,1227.65741,1992.14078
0610006L08Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610009B22Rik,252.00025,252.0003,231.9997,290.8661,269.9996,317,243.0005,235,206,212.00019,347.99996,283
0610009E02Rik,50.00375,65.13058,43.9748,76.3289,84.40516,52.85576,42.04663,20.18227,46.49591,47.18171,145.38542,92.13363
0610009L18Rik,14,27.00001,22,22,38.99998,12.00001,24,25.99998,16.99997,21.00001,45.00007,31.00001
0610010K14Rik,305.97869,427.98882,299.7634022,408.3551161,294.50195,245.53164,291.3426918,320.2156796,398.40917,380.63866,422.19536,358.0899489
0610012D04Rik,1,4,1,1,3,0,0,0,3,1,0,0
0610025J13Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,833.23854,938.9207009,847.7076,792.9087,825.31251,598.32261,774.3436,809.7692,783.628,711.6966989,667.67574,663.96471
0610031O16Rik,2.22576,5.85871,6.05486,2.03858,10.186345,3.15469,8.24835,5.23602,1.02373,1.05649,12.8365,6.07211
0610033M10Rik,1,0,1,0,1,1,0,0,1,0,0,2
0610038B21Rik,1.01783,2.07441,1.0433,0,1.999995,0,0,1.01814,4.06832,3.09296,0,1
0610039K10Rik,9.00312,10.00358,7.003081,5.001517,11.01548,3.000838,15.01369,5.001187,9.00743,5.003391,4.003486,5.004559
0610040B10Rik,26.29701,12.12393,19.35831,24.38953,19.9665,19.944031,21.50047,13.53637,18.43716,19.799668,31.54493,20.228202
0610040F04Rik,7.00135,10.00195,14.00054,12.00056,8.00186,5.0014,12.01742,7,6.00473,9.00176,12.00495,3.00104
0610040J01Rik,905.00038,1374.996,1071.99582,1095.00347,1344.99573,1125.99807,1001.99975,1281.99578,1517.8121,1437.00094,1450.0025,1538.00023
0610043K17Rik,2,3,0,1.999997,1,0,5,1,1,0,2,2
0710001A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1010001B22Rik,3,6,2,3.14715,7.79163,3,2.16705,1.02195,2,1.05697,11.501,2
1100001I12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110002E22Rik,15,16.8448,16,7,25,21.4868,28.6375,18.8235,24,13,4,14.2331
1110002J07Rik,5.01483,7.02775,7.03461,5.01307,6.01472,4.02208,9.05888,8.04052,7.03347,9.04482,10,11
1110002L01Rik,162.22519,180.83725,115.7829,108.14511,88.86903,75.69659,140.38621,136.03665,143.59118,77.7131,114.36288,87.0569
1110002O04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110003F10Rik,6,3,4.01546,8.01877,7.22035,8.8497,5.57582,6.63018,5.44548,6.19682,8.31011,4
1110004F10Rik,848.00022,880.00008,748.99987,1142.00004,829.8714738,808.00013,815.0001947,938.81741,885.99935,970.9993532,1094.99983,925.877171
1110006O24Rik,16,27,17,33,26,9,21,24,22,21,36,19
1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110013H19Rik,13,10,7,5,3,8,8,9,3,5,6,5
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110017D15Rik,0,1,2,0,1,0,2,0,1,0,1,2
1110018N20Rik,0,0,2.03081,1.00638,2.00961,0,5,3.02055,1.42547,0,3.01814,0
1110019B22Rik,33,6,13.5831,3.37778,19,14,28.6672,11.3348,3.37692,9,11.8725,2.69143
1110019D14Rik,69.00003,86.00427,69.00003,88,73.99996,53.99998,39.01156,62,81.00835,52.99999,79.2229,71.00004
1110020A21Rik,22.99997,31.999982,23,28.00002,35.99997,31.99998,27,11,26.99997,13.99996,25.99997,29
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110025M09Rik,14,13,18,18,16,16,17,14,13,16,20,21
1110028F11Rik,7,11.99997,6,4,7,9,4,2,12,12,18.00001,11
1110028F18Rik,0,1,0,2,0,2,0,0,2,1,2,1
1110032F04Rik,12.6428,17.6534,25,7.14143,19.8814,11,9,11,13.2545,13,18.6706,11.2816
1110035H17Rik,45.8535,32.5825,29.2313,36.3695,33.0637,20.9706,37.4124,25.8201,32.4295,29.7211,36.0939,37.3283
1110038B12Rik,595.0000027,805.99946,542.075021,960.0002479,472.9072222,469.99993,606.00038,703.163822,686.999709,825.0003,817.9232914,582.9998
1110038F14Rik,205.00018,256.5719,204.1371,231.35374,214.7771,170.57625,189.9009,222.6731,235.48105,244.02471,255.36977,222.22007
1110046J04Rik,12.24948,7.35159,11.12339,6.0318,10.04715,18.65335,13.53115,13.11919,8.15622,8.15661,11.37828,7.14525
1110057P08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110059E24Rik,470.0003,501.0003,471.00045,686.99972,529.0001,551.0003,506.00028,426.9997,493.9998,528.99957,442.0005,552.00037
1110059G10Rik,268.4766,343.0706,272.3272,285.2748,360.3112,338.0571,325.7889,318.6359,315.0002,282.1729,488.1898,382.9634
1110060G06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110065P20Rik,145.16665,156.76565,114.8213,136.9435,189.84,150.0337,158.99672,116.5884,114.2101,103.7393,152.21109,175.69511
1190001M18Rik,23,25,20,38,4,12,13,24,36,31,17,17
1190005I06Rik,5.90951,5.5964,6,7.06417,7.56237,2,2,6.46503,11,9,9,6.52672
1190028D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1200007C13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1300002E11Rik,244.2031,316.36597,318.86019,332.90669,352.8607,353.92373,256.04715,245.4164,323.89644,332.11396,351.9986,333.35261
1300014J16Rik,50,43.0545,39.0318,17.3985,46,21,43.74,40.0254,31,29,21,20
1500002C15Rik,15.2377,18.03289912,20.1382,15.2876,18.08982764,19.6939,17.26627363,12.349,10.9584,16.37810035,14.3225,19.7825
1500002F19Rik,6.02536,4.99847,4.22826,1.12783,2.089357,2.0304,3.12911,3.09441,5.23414,1,2.09566,3.04351
1500004A13Rik,139.5069,143.43147,116.00522,144.46976,119.363842,102.61818,132.47911,170.84579,106.85449,142.87304,152.9980629,97.2030945
1500005C15Rik,8,5,4,8,4,3,5,7,4,6,2,4
1500009L16Rik,19.13019,14,18.01804,22.02595,20.07551,29,20.99996,19.99997,21.999953,25.03793,17.01181,20
1500011B03Rik,94.172,99.1351,64.75432,103.5146,74.9436,62.6099,92.1634,89.9089,84.43298,69.729371,83.71,71.6348
1500012K07Rik,2,1,0,1.00483,1,1,0,1,2,1,1,1.00346
1500015A07Rik,85,91.09898,59,78,68.14407,62,80.00002,67,53,44,81.0304,56
1500015L24Rik,0,2.03542,2.34899,0,0,1.11153,3.04288,0,1.00242,0,0,0
1500026H17Rik,23.9999633,29.209648,21.99997,28.17478,47.152,22.99996,23.05466,14.000024,16.0582,16.0562,22.06742,27.33235
1500032F14Rik,0,0,0,0,1,0,0,0,0,0,0,0
1500035N22Rik,141.99991,158,86.99999,120,55.99998,55.00002,141,106.9999,92.00002,74.00003,122.0001,75
1600002D24Rik,6,1,4,1,3,0,1,2,5,0,5,4
1600010M07Rik,11.4242,9.33157,6.14951,5.7266,6.02502,2,8.67429,5.12083,11.2237,7.12026,3.1387,4.072983
1600012H06Rik,583.04132,575.6722,625.24147,558.95263,713.15635,626.33792,544.61304,630.76301,588.77908,624.425,690.66402,660.84999
1600012P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600014C10Rik,783.99996,626.98975,1070.00071,566.00029,1261.98879,1224.98929,901.00034,555.00029,534.98796,503.00063,669.00037,971.99998
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600017P15Rik,1.4866,0,0,0,2,1,3,0,2,0,1,2
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,217.42404,225.986653,105.87171,111.708035,172.488911,134.03041,189.40514,154.4402233,85.004009,84.16032,164.138618,121.14779
1600022D10Rik,1,0,1,2,1,0,0,0,1,1,0,0
1600023N17Rik,1,8,2,4,5,7,8,6,0,7,9,4
1600025M17Rik,3.34912,3.10595,5.02291,4.11958,1.78332,1.00861,6.1963,1.13706,0,2.84903,0.771921,0
1600027J07Rik,0,0,0,1,0,0,0,0,0,0,1,0
1600029O15Rik,4.00753,0,0,0,3.01824,3.00061,2.00234,4.00884,5.00222,3.0017,2.00293,2.00221
1700001C19Rik,14.91513,7.23735,8.49825,16.66147,9.12364,14.38172,13.50838,10.05252,23.26512,12.22173,23.41582,15.11849
1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G01Rik,1,0,1,1,1,0,1,0,1,1,0,1
1700001G11Rik,0,1,2,0,0,0,0,1,0,0,0,0
1700001G17Rik,4,9,1,1,8,3,4,5,4,1,14,5
1700001J03Rik,3,1,5,4,3,2,1,3.000004,1,6,6,1
1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,1,0,0,0,0,0,1,0
1700001K19Rik,5,4,2,6.999999,1,4,3,1,1,2,8,1
1700001K23Rik,6.000004,14.00005,6,10,6,6,14,10,5,8,10,8
1700001L05Rik,721.99986,857.99996,626.00019,664.00036,552.0002,374.99989,666.00014,648.00014,554.99961,471.99958,743.00047,528.99961
1700001N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001O22Rik,18.00001,41,15.00004,34.99997,10.999995,12.9999961,8.999997,17,33,14.99995,20.00000023,16.00003
1700001P01Rik,2,0,2,4,1,0,1,5,0,0,0,4
1700003C15Rik,0,0,0,0,0,0,1,0,0,0,1,0
1700003D09Rik,114,102,90,68.6048,55.276,34.1936,77.0096,53.0106,55.1851,61.0256,56.9847,43.007
1700003E16Rik,113.99988,109,130.99981,122.99995,112.00047,74,69.00003,104.99955,107,98,100,108
1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,1,3,0,2,0,2,2,0,1,1,1,1
1700003G18Rik,0,0,0,0,0,0,1,0,1,0,1,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003I16Rik,5.62489,12.6482,11.4755,3,4.19617,5,5,11.2753,0,1.36447,12.1913,6
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,1.66513,2.72446,3.05548,2.8194,1.2631,2.80563,1,2.0933,4,4.59627,0,4.09195
1700003N22Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700003O11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003P14Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,2.000056,0,2.02266,1.00195,1,1.0032,2.999996,5.020701,0,7,2,1.00682
1700006P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007E05Rik,8,12,12,7,5,4,8,11,5,15,7,3
1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007J10Rik,3.01127,1.01388,1.01045,2.01111,1,0,3.00969,1.00485,3.00255,0,3.01254,1
1700007L15Rik,47.05856,42.21808,45.56171,48.1697,44.17065,24.00001,36.3317,36.10826,32.06984,37.09531,62.02049,42.00003
1700007M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007P06Rik,0,0.629917,0,0.255653,1,1.85726,0,0,0,0,0,0
1700008A23Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700008B11Rik,2,0,2,0,2,1,1,3,2,0,0,0
1700008C04Rik,5,5,1,1,0,0,2,1,3,4,3,2
1700008H02Rik,10.3484,0,4.07016,0,2.08074,0,0,3.07012,0,4.25329,1.02229,0
1700008J07Rik,78.6184,107.513,88.7859,90.1995,88.4639,96.6724,94.9003,88.0761,99.9027,90.3294,130.829,85.1149
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,6.08899,6.95209,5,5.82157,4.59985,4,6.036852,6.00407,5.54528,3.63877,3.919785,3.00551
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,1,1.0796,0,0,0,1,2
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010G06Rik,0,3,0,1,0,0,0,0,1,1,0,0
1700010H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0,0,0,0.284147
1700010I14Rik,12,13.00174,13,18.00403,10,2,14,12.999957,12.00603,11,10,12.00204
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010K24Rik,1,1,0,1,2,2,2,2,1,1,0,0
1700010L04Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700010N08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0.827151,0,0,0,0,0,1,1,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011D18Rik,0,0,0,0,0,0,0,2,0,0,0,1
1700011L03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011L22Rik,2,0,0,0,0,2,0,0,0,0,1,1
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,1,0,1,0,1,3,1,0,2,0,0
1700012C08Rik,0,0,0,0,0,0,0,0,0,0,0,0.744045
1700012C14Rik,0,1,0,0,0,0,1,0,0,0,0,1
1700012D16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012E03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700012J15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012J22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013A02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013M08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700014B07Rik,0,0,0,0,1,0,0,0,0,0,1,0
1700014D04Rik,0,0,0,2.999997,0,2,0,0,0,2,1,1
1700014F14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015C17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015G11Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700015H07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015I17Rik,1.14742,0,1.0025,1.85693,1.00241,1.09241,0,2.00933,0,0,0,1.30263
1700015O11Rik,2,1,5,13,7,2,3,5,5,0,3,5
1700016A09Rik,0,2,1,0,1,0,0,1,2,2,2,0
1700016B01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016B15Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700016C15Rik,4,2,10,0,29,17,12,3,7,2,11,9
1700016D08Rik,0,0,1.17051,0,0,0,0,0,2.37853,0,0,0
1700016F12Rik,0,0,0,0,0,0,1,0,0,0,0,0
1700016G22Rik,0,0,0,1.000000021,1,0,0,0,1,0,0,1
1700016H03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016H13Rik,3,0,2.000003016,3,2.000001634,0,3,1,0,1,5.999993,1
1700016J18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016K05Rik,0,0,0,0,2,0,1,0,0,0,0,1
1700016K19Rik,17,16,13,27,14,21,21,14,19,19,10,11
1700016L21Rik,2.5452,0,2,0,0,0,2,1,3,0,0,0
1700016P03Rik,0,1.89811,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,545.9999534,798.99988,706.00013,906.00015,440.00031,371.99983,467.99993,643.99947,908.00017,801.99993,577.00037,614.00006
1700017G19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017I07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017M07Rik,0,1,0,0,1,0,0,2,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,1,1,0,0,0,0,1,0
1700018A14Rik,3,0,3,1,0,4,1,0,3,2,2,1
1700018A23Rik,2,2,0,0,5.00843,3,1,1,1,2,2,7.01163
1700018B08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,28.7252,13.3248,18.5255,25.7836,28.4597,18.1918,27.62,25.409,29.7136,25.6953,32.4766,23.4734
1700018M17Rik,0,0,0,0,0,0,2.04394,0,1.01307,0,1.02925,0
1700018P08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018P22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019A02Rik,1,0,3,0,1,3,2,1,2,0,2,0
1700019A23Rik,3,3,2,1,2,1,1,1,1,1,0,1
1700019C18Rik,0,0,0,1.83713,0,1.82823,1.83959,1,0,1,1,0
1700019D03Rik,261.00039,279.00043,290.99961,488.7594,195.7964507,166,237,208.00012,232.0000002,237.800797,202.99991,169.6601
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019J19Rik,2,1,5.00008,1.00001,2.00001,3,0,0,2,1,0,0
1700019L13Rik,3.06813,1.69874,0,0,1.59444,3.09469,2.21289,0,1.71597,1.50115,1.57257,2.4712
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020G03Rik,1,1,0,0,0,0,0,0,0,0,0,0
1700020G17Rik,1,1,0,1,1,0,1,1,0,0,0,0
1700020L13Rik,2,3.20886,2.00802,5,2,1,3.24687,4.09459,3,0,4,0
1700020L24Rik,40.6712,33.7855,26.61103,55.7436,56.0843,58.4299,37.6332,34.721,40.1564,48.8503,33.08962,35.6037
1700020M21Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700020N01Rik,6,4,1,0,8,9,7,4,0,1,8,6
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,1,0,3,0,1,1,0,0
1700021A07Rik,0,0,0,1,0,0,1.10548,0,1.35494,0,0,0
1700021F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021F13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021J08Rik,19.8578,17.8878,8.39558,9.60348,19.315,10.5903,18.7637,12.5305,8.57279,6.1845,16.8851,11.5954
1700021L23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022A21Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022H01Rik,2,0,8,2,2,1,2,3,0,4,0,4
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022I11Rik,1.1217,2.29194,0,3.36162,0,1.13788,2.2672,2.25666,0,1.10729,2.26,2.25187
1700022N22Rik,5,8.39329,24.86067,9.6672,9.2772,10.52341,5,18.25168,13,13.43765,13.67192,14.95735
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023F02Rik,0,0,0,1,0,0,0,0,0,0,1,1
1700023G09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023H06Rik,1,1,1,2,1,1,0,3,1,1,0,0
1700024B05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024J04Rik,3,4,7.00618,0,7.00006,0,5,4,1,4.81869,3.00001,3
1700024P12Rik,49,53,44,48,35,23,56,33,49,22,34,22
1700025A08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,1,0,0,0,1,0,0,0,1
1700025D23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,93.99997,54.00001,136.97974,288.56231,149.87068,133.5916,69.204403,54.00295,140.87277,179.95669,45.00004,95.65126
1700025H01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025K04Rik,0,0,2,0,0,0,1,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025L06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N21Rik,0,0,0,0,0,0,0,0,0,0,1,1
1700025N23Rik,3.26576,4.57359,4.28753,1.20653,0,1.04015,5.49014,3.40804,3.06487,3.36849,1.07601,0
1700025O08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,3,2,3,0,0,0,0,2,1,0
1700026F02Rik,1.05776,0,3.80981,0,2.03263,1.07201,2.27547,1.234061,0,1.257798,0,2.03742
1700026J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026N04Rik,3,5,1,1,1,1,3,0,0,3,2,2
1700027A07Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027J07Rik,1,2,0,1,0,1,1,1,0,1,1.17649,2
1700028B04Rik,7.02906,6.37855,0,1.15403,0,2.483,2.66597,4.26641,1.39526,3.30988,6.85854,2.25923
1700028D13Rik,1,4,7,3,5,0,0,4,5,4,1,2
1700028E10Rik,31.7155,21.7646,24.547,28.73827,19.748775,7.97589,28.7884,24.08379,25.8126,39.2453,33.93865,18.6408
1700028I16Rik,0,1.000000355,0,1.000000008,0,1.000000422,0,0,0,0,0,0
1700028J19Rik,14,19.01351,16.095926,16,28,25.02848,16.06755,17.45646,13.999981,16,12,15.174756
1700028K03Rik,2,4.00580228,2,0,2,6.64823,1.38893,1.0120877,0.99999957,2.00107836,6,1
1700028M03Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700028N14Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,1.00326,0,0,0,0,0,0,0,0,1
1700029B22Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700029B24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029E06Rik,1,0,2.12738,0,1,2.11893,0,0,1,0,1.04721,2
1700029F12Rik,1,1,0,1,0,0,1,2,1,0,0,0
1700029H14Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700029J03Rik,0,0,1,0,0,1,2,0,0,0,1,0
1700029J07Rik,24.99996,27.03242,6,18.00019,14,10,15,19.01627,13,10,13.01405,16
1700029K24Rik,14,20,17,9,8,9,19,15,8,15,14,12
1700029M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029N11Rik,1,2,4,1,0,2,3,0,2,0,1,1
1700030A11Rik,10,1,2,2,2,2,8,11,2,6,3,1
1700030C10Rik,48.8561,32.7731,62.6558,34,66.9259,88.9733,42.1864,39.9416,68.9463,45.0769,48.9943,101.851
1700030C12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030C14Rik,1,0,0,0,0,1,0,0,0,0,0,0
1700030E10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030J22Rik,11,12,7,11,13,9,4,13,13.99999,22,6,13
1700030K09Rik,41.81781,61.929678,47.81698,42.4291,63.4983,50.3061,49.7587,62.6524,58.622,34.49857,71.3566,64.5388
1700030L20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030L22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,1,0,0,0,0,1.003,0,0,0
1700030N03Rik,9.00571,1.006073168,7,2,12.00515,6.33438,8,4.665908,6.33158,8,8,8
1700030N18Rik,1,0,2,1.00708,0,1.014,3,0,0,1,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,1,1,0,0,0,0,0
1700031C06Rik,2,0,0,3,2,2,3,2,1,2,4,1
1700031F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031P21Rik,5,2,3.04446,4,3.34703,2.0306,4.43113,2.38467,2,3,3.03622,4.06501
1700034B16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034H15Rik,38.74676,128.02466,43.01506,47.20694,38.18105,26.505021,29.834304,116.61481,70.03527,88.78775,122.63173,60.09264
1700034J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034J05Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700034K08Rik,1,0,0,0,0,0,0,2,1,0,0,0
1700034P13Rik,24.73621,79.3999,30.36682,26.41585,51.96927,67.66577,41.40289,70.241932,53.8537,22.4254,163.89923,66.37817
1700036A12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700036O09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700037C06Rik,0,0,0,0,0,0,0,0,0,0,0,0
