,logFC,AveExpr,t,P.Value,adj.P.Val,B
5033404E19Rik,5.022637866,-2.928132708,22.78758748,2.48E-11,3.56E-07,15.10135511
4933423P22Rik,5.287963066,-2.690085692,20.54776729,8.46E-11,5.32E-07,14.23910927
Cyp24a1,12.73502877,6.594036899,19.88849232,1.24E-10,5.32E-07,13.95601572
Krt7,1.613867449,6.401278679,19.59345,1.48E-10,5.32E-07,13.82455519
Ecel1,2.495426233,1.398178956,17.15663515,7.05E-10,2.03E-06,12.61258921
Lrrc26,1.8564062,4.960609785,15.36591039,2.55E-09,5.24E-06,11.55437331
Wfdc16,3.284137308,1.864471109,15.36100936,2.55E-09,5.24E-06,11.55125198
5031439G07Rik,1.28843731,5.783033546,15.07227439,3.18E-09,5.71E-06,11.36502915
Prelp,3.954276623,6.281895343,14.16134213,6.53E-09,9.48E-06,10.7460401
Gm29374,5.025551097,-2.31633718,14.14807278,6.60E-09,9.48E-06,10.73665402
Rnf149,1.3070612,6.170408435,13.89318498,8.13E-09,1.00E-05,10.55420782
Gdpd5,1.815519502,4.938359392,13.86067464,8.35E-09,1.00E-05,10.5306398
Fam20c,2.902445996,0.949791138,13.45319967,1.18E-08,1.30E-05,10.22938467
Cnnm1,1.920342152,2.536325223,13.35089811,1.28E-08,1.32E-05,10.15201042
Ppard,0.837601022,8.864602581,13.26328895,1.38E-08,1.32E-05,10.08518042
Atoh8,2.253074404,1.38962904,12.99165526,1.75E-08,1.57E-05,9.87458069
Grin1os,2.205746022,1.399308683,12.81380097,2.05E-08,1.73E-05,9.733851211
Atp2b1,1.649959329,8.086392113,12.60676454,2.46E-08,1.96E-05,9.567129071
Ripor3,5.395906283,-1.524018608,12.3825026,3.02E-08,2.18E-05,9.38292787
Gm2061,3.345069272,3.352902577,12.32428171,3.18E-08,2.18E-05,9.334481809
Orai1,1.437881486,5.080756238,12.32106489,3.19E-08,2.18E-05,9.331797467
Myadm,1.330375634,6.420089263,12.19108896,3.60E-08,2.35E-05,9.222665531
Slc30a1,1.568357276,5.310218562,12.02037758,4.22E-08,2.63E-05,9.077317499
Slc37a2,3.322739965,6.303203415,11.9422229,4.54E-08,2.72E-05,9.010000124
Ptprj,1.91474334,5.455475438,11.62191835,6.16E-08,3.51E-05,8.728911207
Trim47,3.731554922,0.21637884,11.58865391,6.36E-08,3.51E-05,8.699231902
6330403L08Rik,1.707071492,2.830001648,11.49050654,7.00E-08,3.72E-05,8.611118129
S100g,3.186808399,7.344521099,11.1883504,9.42E-08,4.83E-05,8.334655448
Nkain1,1.632223065,2.315000043,10.90306326,1.26E-07,6.22E-05,8.066224664
Bzw1,0.85739699,8.180176879,10.74554501,1.48E-07,7.06E-05,7.914837887
Car8,1.196629916,3.656923856,10.68199656,1.58E-07,7.30E-05,7.853110175
Hmga2,1.138270994,4.00742093,10.60674375,1.70E-07,7.64E-05,7.779522089
Mapre2,1.55164411,6.268365117,10.43071949,2.05E-07,8.91E-05,7.605284165
Galnt10,1.140821037,6.620105639,10.36818266,2.19E-07,9.24E-05,7.542661899
Inpp5j,1.586819627,5.018133451,10.23848391,2.51E-07,0.000103087,7.411564299
Ttc22,1.318410933,5.372266136,10.16813556,2.71E-07,0.000105525,7.339760219
Ccdc134,1.506312149,4.60782722,10.16498398,2.72E-07,0.000105525,7.33653185
Soat1,1.809209686,6.487269102,9.972307593,3.35E-07,0.000126652,7.137256217
Prr5,0.81854653,5.544674305,9.943951436,3.46E-07,0.000127297,7.107609505
9630028B13Rik,2.034050031,0.064092976,9.914056452,3.57E-07,0.000128256,7.076264291
Pgap1,1.37525553,5.769665012,9.829249303,3.92E-07,0.000137395,6.986839422
Vsir,1.821051134,1.620799854,9.620150828,4.95E-07,0.000169377,6.763131358
Mmgt2,0.605569904,4.50597232,9.547284199,5.38E-07,0.000179623,6.684079451
Myo19,0.859888659,5.197918182,9.381242154,6.50E-07,0.000212124,6.501791756
St3gal6,-0.821317025,5.211328981,-9.347042524,6.76E-07,0.000215726,6.46387053
Sdr42e1,1.515538765,4.801690235,9.06135315,9.43E-07,0.000287094,6.141982696
Pip5k1b,0.514454675,6.291764351,9.050709255,9.55E-07,0.000287094,6.129811458
Inmt,4.23282545,-2.012136148,9.04650294,9.60E-07,0.000287094,6.124997976
Ppox,0.819538282,4.670772066,8.657366518,1.53E-06,0.000441658,5.670773428
Mctp2,1.847469684,3.099702043,8.653645707,1.54E-06,0.000441658,5.666343766
Zhx2,0.790128168,4.957938074,8.635098052,1.57E-06,0.00044292,5.644237759
Trim13,1.125743518,1.753488666,8.53937186,1.77E-06,0.000488568,5.529485884
Gprc5b,2.87900603,0.271201968,8.448734754,1.98E-06,0.000536243,5.419806295
Spon2,5.777108001,-0.789489475,8.415952332,2.06E-06,0.00054276,5.379888062
Car6,3.516835772,-0.291187397,8.40926269,2.08E-06,0.00054276,5.371725984
4933412E12Rik,1.125779867,0.639235066,8.356478814,2.22E-06,0.000552089,5.307129698
Asap1,1.023010982,3.398475141,8.355225789,2.22E-06,0.000552089,5.305592059
Gm48850,-1.299006862,2.235695953,-8.353123167,2.23E-06,0.000552089,5.303011408
Gm8281,3.020894193,2.374697036,8.305691399,2.37E-06,0.000560863,5.244649702
Dynll2,0.816601431,7.904066271,8.281659492,2.44E-06,0.000560863,5.214972731
Tcf23,-1.14176506,1.6693303,-8.276981698,2.45E-06,0.000560863,5.209187716
Gm10409,3.662926876,-1.738154301,8.274791243,2.46E-06,0.000560863,5.206477845
Gm3020,3.662926876,-1.738154301,8.274791243,2.46E-06,0.000560863,5.206477845
Slc30a10,2.263036979,6.880321041,8.244085448,2.56E-06,0.000568176,5.168427421
Raet1e,2.419194653,0.518766451,8.239794054,2.57E-06,0.000568176,5.163100108
Epb41l4a,1.182916832,0.558987254,8.227014575,2.61E-06,0.000568693,5.147221994
Cped1,2.246120573,2.074849955,8.21081872,2.67E-06,0.000571823,5.127069535
Nrp1,1.528822289,0.290626648,8.100647182,3.07E-06,0.000648346,4.989100822
Vstm5,1.269728655,4.82049622,8.071472546,3.19E-06,0.000653369,4.952306005
Cdc14a,0.866721687,4.586716695,8.063141668,3.22E-06,0.000653369,4.941779143
D130043K22Rik,-1.53120439,3.53557839,-8.05318196,3.26E-06,0.000653369,4.929182402
Snx8,1.396156429,2.507842435,8.050100953,3.28E-06,0.000653369,4.925283054
Ifngr1,-0.648926682,6.474577694,-8.030083865,3.36E-06,0.000661243,4.899919524
Gm43429,1.614813986,0.328446724,7.976520444,3.60E-06,0.000690169,4.831795411
Vav3,-1.514975605,1.506777691,-7.976012708,3.60E-06,0.000690169,4.831147876
Hpse,1.2204971,3.946649837,7.962401551,3.67E-06,0.000693205,4.813776602
Ssbp4,0.856987599,4.747311677,7.926108313,3.85E-06,0.000717217,4.767339637
Gna15,3.455739867,-2.241859161,7.887212667,4.05E-06,0.000736756,4.717382384
Pfdn4,0.908075944,3.549860372,7.885795932,4.05E-06,0.000736756,4.71555901
Cd79b,2.942290358,0.580162798,7.789591409,4.60E-06,0.000825328,4.591124992
Slc1a2,-1.763682277,1.139179595,-7.732915402,4.96E-06,0.000868288,4.517246746
Pla2g3,2.088428424,0.906339963,7.732432613,4.96E-06,0.000868288,4.516615591
Ptpn2,0.599136925,5.157025231,7.700842606,5.17E-06,0.000894494,4.475250269
Epha4,-1.736717754,-0.407674413,-7.680557715,5.31E-06,0.000904139,4.448618236
Gstp1,0.784066395,8.687179124,7.674844606,5.35E-06,0.000904139,4.441107579
Tnfaip3,-0.887374902,4.371558944,-7.629591191,5.68E-06,0.000949174,4.381461477
Ereg,3.622332817,-0.6182903,7.597250128,5.94E-06,0.000979733,4.338666057
Lrat,-1.224152466,3.972172312,-7.524806948,6.54E-06,0.001067615,4.242293513
H2-Q3,2.504738013,0.164269101,7.507921422,6.69E-06,0.00107994,4.219728267
Slc1a3,0.861300987,4.949030473,7.493219021,6.83E-06,0.001082727,4.200048934
Gm3002,4.001821975,-0.436818017,7.489565488,6.86E-06,0.001082727,4.195154079
Trib1,0.799881188,4.843088961,7.478109102,6.97E-06,0.001087686,4.179793494
Slc35f2,0.974499319,6.488901905,7.438204059,7.36E-06,0.001134405,4.126149566
Cd24a,1.009318593,8.524121309,7.431249799,7.43E-06,0.001134405,4.116778772
Gm3636,1.7377998,1.042866906,7.396332088,7.79E-06,0.001177113,4.069627406
Dctd,0.716251573,3.520747566,7.359004415,8.19E-06,0.00121455,4.019036643
Sema6d,0.785063764,5.283584618,7.358158628,8.20E-06,0.00121455,4.017888113
Atp7b,-0.698129224,5.152222433,-7.347708892,8.32E-06,0.001219477,4.003689857
Relt,1.364964727,-0.465469112,7.294229182,8.96E-06,0.001299125,3.930789983
Adgrd1,-1.162902571,2.232850592,-7.282045268,9.11E-06,0.001304354,3.914126364
Acvr1,0.648251082,3.949274387,7.276790605,9.17E-06,0.001304354,3.906933348
Gm26737,1.311488575,0.987109898,7.25502833,9.45E-06,0.001322678,3.877102551
Mafa,2.553663914,-1.940428986,7.252470722,9.49E-06,0.001322678,3.873592372
Phc1,0.996801758,3.575124137,7.222715481,9.89E-06,0.001365002,3.832688014
Tbc1d24,-1.003864403,4.957399,-7.201747526,1.02E-05,0.001391883,3.80378939
Sfxn2,0.646936564,2.721969932,7.189500208,1.04E-05,0.001402399,3.786881403
1700034H15Rik,1.309334479,1.393777105,7.172219513,1.06E-05,0.001423077,3.762988944
Arrb2,0.917032081,2.536213368,7.160163784,1.08E-05,0.001433313,3.746295827
Snhg14,-0.682612356,2.980350912,-7.153774928,1.09E-05,0.001433313,3.737441164
Cdca7l,1.106243732,4.971596012,7.134536774,1.12E-05,0.001458916,3.710743393
Acot7,0.825085845,5.722560201,7.026573228,1.30E-05,0.00167624,3.559950533
Tmem218,0.780502171,2.27486158,7.022746508,1.31E-05,0.00167624,3.554575542
Shroom1,2.436911952,2.501449626,7.016222679,1.32E-05,0.001676769,3.545407423
Bri3bp,0.68360931,6.906620862,6.987130324,1.37E-05,0.00172603,3.504449665
Irf2,-0.571734824,5.978332284,-6.983323764,1.38E-05,0.00172603,3.4990817
Gm3264,2.843782608,0.390884288,6.970269943,1.41E-05,0.001743082,3.480657727
Pmepa1,0.847411387,3.828916873,6.91452956,1.52E-05,0.001870613,3.401713633
Utp4,0.680772607,5.116627821,6.887679981,1.58E-05,0.001925766,3.363528868
Bcl9l,0.734105446,6.283205264,6.876659396,1.61E-05,0.001925766,3.347825842
Arl4d,-1.304732342,2.215359993,-6.875837616,1.61E-05,0.001925766,3.346654208
Iqck,1.109051065,-0.377755414,6.868783568,1.63E-05,0.001925766,3.336593071
Impdh1,0.97532115,3.494799022,6.864862809,1.64E-05,0.001925766,3.33099784
Shmt1,1.004683236,6.781680143,6.84188315,1.69E-05,0.001970618,3.298159761
Srm,0.99597631,4.4731257,6.827284663,1.73E-05,0.001970618,3.277259078
Slc34a2,3.303014482,0.743900002,6.821858832,1.74E-05,0.001970618,3.269483103
Wdr74,0.485438687,4.352735614,6.815598705,1.76E-05,0.001970618,3.260506209
Capns1,0.638997172,7.381829097,6.810433258,1.77E-05,0.001970618,3.253094823
Pkp1,1.495545093,5.557233753,6.806406715,1.78E-05,0.001970618,3.247314876
Cnksr3,-0.602555183,3.553875816,-6.806066653,1.78E-05,0.001970618,3.246826623
Gm57252,1.98273159,-0.110706251,6.804548683,1.78E-05,0.001970618,3.244646956
Gm3164,3.531363798,-0.568534831,6.798563581,1.80E-05,0.001972491,3.236049664
Gm7457,-1.116968089,1.513321089,-6.771371731,1.87E-05,0.002035789,3.196925018
Itpripl2,-1.047443426,4.212498157,-6.742494392,1.95E-05,0.002106574,3.155258517
Klhdc7b,-1.525199888,-0.191229866,-6.70053953,2.07E-05,0.002221962,3.094508084
2010110G14Rik,-1.203622356,0.776616296,-6.687828825,2.11E-05,0.002241585,3.076052773
Ankrd66,3.870125501,-3.471195144,6.683691064,2.12E-05,0.002241585,3.0700399
Gar1,0.54591852,4.241329706,6.679261716,2.14E-05,0.002241585,3.063600551
Crybg2,-0.74907868,6.064070321,-6.660191537,2.20E-05,0.002288017,3.035843993
Fchsd2,-1.210394112,6.09440437,-6.618109161,2.34E-05,0.002415551,2.974406465
Fhdc1,1.188183804,4.797241714,6.608648158,2.37E-05,0.002431746,2.960558569
Gm15832,1.206360789,1.683866367,6.596092342,2.41E-05,0.002459337,2.942160733
Pusl1,0.724591111,2.979421011,6.583859816,2.46E-05,0.002461494,2.92421453
Ppp1r15b,0.670377987,7.524884625,6.580184457,2.47E-05,0.002461494,2.91881819
Chdh,-0.507052848,7.242959983,-6.576640982,2.48E-05,0.002461494,2.913613626
Naf1,0.617171526,3.587341646,6.576433652,2.49E-05,0.002461494,2.913309049
Gm3005,4.323314539,-1.884904161,6.562988035,2.54E-05,0.002489539,2.893543414
Gcnt2,-0.976537628,5.028508419,-6.559408132,2.55E-05,0.002489539,2.888276358
Rnpep,0.500829325,7.902150545,6.536218311,2.64E-05,0.002558624,2.854112222
Gfod2,0.950816723,4.207920386,6.528825999,2.67E-05,0.00256931,2.843205076
Dkc1,0.583383572,5.43501023,6.514361772,2.72E-05,0.002594836,2.821840418
Ate1,0.85876737,5.014817223,6.513098018,2.73E-05,0.002594836,2.819972313
Ak4,-1.29232032,0.567385434,-6.502451028,2.77E-05,0.002598238,2.80422446
Chad,1.765704475,1.087313974,6.500270373,2.78E-05,0.002598238,2.80099703
Tle6,1.001047518,0.747068518,6.498904353,2.79E-05,0.002598238,2.798974928
Tnk2,0.972084375,5.539030539,6.492669099,2.81E-05,0.002605403,2.78974149
Brpf3,0.474345812,7.115614963,6.480281323,2.86E-05,0.002636632,2.771380245
Gga3,0.541256098,4.970851077,6.464702179,2.93E-05,0.002667787,2.748256822
Phgdh,1.738509254,4.547567387,6.463768953,2.94E-05,0.002667787,2.746870546
A730020E08Rik,0.784409348,0.94935521,6.457071262,2.96E-05,0.002677498,2.736917615
Faap100,0.859892621,4.400712379,6.414572715,3.16E-05,0.002820377,2.673610406
Pdlim2,2.063914789,5.076211375,6.413517391,3.16E-05,0.002820377,2.672034986
Neo1,0.589477615,6.472846215,6.409028847,3.18E-05,0.002820377,2.66533253
Zfp239,0.735834809,4.472920119,6.405449756,3.20E-05,0.002820377,2.659985981
Bach1,0.838146009,7.325932049,6.397473404,3.24E-05,0.002830032,2.648063906
Rhov,2.393699843,-0.779069546,6.394989777,3.25E-05,0.002830032,2.644349776
Sh3bgr,2.269195746,1.559300925,6.37885524,3.33E-05,0.002881634,2.620199365
Acot11,-0.605385908,6.110806901,-6.337087269,3.55E-05,0.003002119,2.557502554
Ddx31,0.6203749,2.958147092,6.336756732,3.55E-05,0.003002119,2.55700537
Rnf157,1.045494571,2.129001853,6.335636954,3.55E-05,0.003002119,2.55532091
Aen,0.775589908,4.308238796,6.332211332,3.57E-05,0.003002119,2.550166671
Hsd3b2,-2.118121088,0.804590855,-6.331723558,3.57E-05,0.003002119,2.549432619
Gnl3,0.609313443,5.252371896,6.325218636,3.61E-05,0.003013977,2.539639995
Baiap2l2,-0.623548676,7.506678971,-6.311588802,3.68E-05,0.003058605,2.519101185
Il7,1.34512791,0.121755182,6.287194321,3.82E-05,0.003145224,2.482272745
Cd177,2.098813651,2.321226747,6.285421009,3.83E-05,0.003145224,2.479592147
Lmo4,0.583560527,4.332156763,6.274469131,3.90E-05,0.003163907,2.463026642
Prkar2a,0.594134499,8.280738934,6.273965687,3.90E-05,0.003163907,2.462264721
Gm20621,1.977005354,-0.859414645,6.267875228,3.94E-05,0.003175204,2.453044353
Cers6,-0.62988166,6.937891275,-6.262042003,3.97E-05,0.00318031,2.444208278
Slc39a8,1.663344537,4.946909341,6.259418421,3.99E-05,0.00318031,2.440232481
Ruvbl1,0.605907381,4.356139855,6.253079006,4.02E-05,0.003193205,2.430621489
Rrp1b,0.78803113,4.339977541,6.242662379,4.09E-05,0.003226119,2.414816272
Ppan,0.72818657,4.869735464,6.237991424,4.12E-05,0.003231267,2.407723798
Ephx1,1.335371678,5.505247094,6.233361084,4.15E-05,0.00323633,2.400689813
Iffo2,1.218520096,4.570093267,6.20032134,4.36E-05,0.003356411,2.350406939
Sis,-0.893550811,12.39578641,-6.199080602,4.37E-05,0.003356411,2.348515529
Ppargc1a,-0.982761857,6.003627632,-6.198701192,4.37E-05,0.003356411,2.347937103
Glud1,-0.747790823,8.167266359,-6.191705371,4.42E-05,0.003374263,2.337267854
Nif3l1,0.452102239,4.345220995,6.181046746,4.49E-05,0.003394301,2.320998593
Mppe1,0.816894288,4.978118521,6.180861165,4.49E-05,0.003394301,2.320715175
Get1,0.901496243,2.939731142,6.16967128,4.57E-05,0.00343458,2.303616617
Rdh16,-2.002042617,2.3665394,-6.153746981,4.68E-05,0.003490598,2.279251763
Gm3488,3.346568126,-0.66397541,6.152235762,4.69E-05,0.003490598,2.276937585
Rbmxl1,0.559247397,5.310739696,6.146106465,4.74E-05,0.00350452,2.26754813
Polr3d,0.698196393,3.910716943,6.142878772,4.76E-05,0.00350452,2.262601401
Mast3,-0.665552539,4.916369401,-6.137040382,4.80E-05,0.003513585,2.253649628
Ttc39b,1.419630707,5.882295623,6.132854213,4.83E-05,0.003513585,2.247228035
Mknk2,-0.592798329,7.069828701,-6.127078253,4.88E-05,0.003513585,2.23836344
Adgrg6,2.004810975,0.625975338,6.121874131,4.91E-05,0.003513585,2.230372239
Rap1gap,0.855178416,5.269313909,6.119827064,4.93E-05,0.003513585,2.227227762
Pdp2,0.649257358,5.482147322,6.119110408,4.94E-05,0.003513585,2.226126767
Gm34854,1.459956831,2.828937558,6.118131697,4.94E-05,0.003513585,2.224623057
Zc3h12d,-0.72179411,3.714202307,-6.100136653,5.08E-05,0.003594036,2.196949856
Cldn2,1.448723089,8.628640299,6.084131692,5.21E-05,0.003656506,2.172296765
Kcnc3,0.906544711,1.738956042,6.082522832,5.22E-05,0.003656506,2.169816475
Chd5,2.011481983,-0.326371919,6.054628132,5.45E-05,0.003798274,2.126751814
Mybpc2,1.435066662,-0.369061001,6.038832956,5.58E-05,0.003873066,2.102315648
Pa2g4,0.522301353,7.370955455,6.034421739,5.62E-05,0.003876574,2.095484607
Sdhaf1,0.523123758,4.73526727,6.032013283,5.64E-05,0.003876574,2.091753747
Gm2956,4.04559427,-2.412952808,6.001790205,5.91E-05,0.004035978,2.044863132
Zmynd19,0.606939122,4.33388077,5.999775438,5.93E-05,0.004035978,2.041732441
Myom3,-0.863789157,1.733337246,-5.989280285,6.03E-05,0.004066807,2.025414595
Pdgfa,1.527367966,5.281397611,5.988768332,6.03E-05,0.004066807,2.024618194
Fgr,1.020635726,1.996738981,5.984968811,6.07E-05,0.004071704,2.018706394
Gm37697,0.785488789,4.751993472,5.965899334,6.25E-05,0.004161071,1.989003264
Knop1,0.574890925,5.289498634,5.963618804,6.27E-05,0.004161071,1.985447443
Slc26a3,-0.965668376,7.384421129,-5.961999742,6.29E-05,0.004161071,1.98292252
Tmeff1,0.890235915,2.327859181,5.950494303,6.40E-05,0.004212311,1.964968639
Polr1e,0.524824445,3.060375526,5.948218994,6.42E-05,0.004212311,1.961415766
Porcn,0.710119623,2.194594383,5.921011412,6.70E-05,0.004373998,1.918872007
Rmi2,0.508169521,2.339480172,5.918187387,6.73E-05,0.004373998,1.914449876
Net1,-0.624547011,8.096264217,-5.907926194,6.84E-05,0.004424546,1.898371967
Fgfr4,-0.797206663,2.147170094,-5.901734416,6.91E-05,0.004447481,1.888662742
Klhl5,0.808439007,3.449802469,5.886776755,7.07E-05,0.004532315,1.865184464
Noc2l,0.569546285,6.196798568,5.881062951,7.13E-05,0.00455267,1.856207055
2700038G22Rik,0.941604944,2.379037126,5.875983878,7.19E-05,0.004568686,1.848222866
Mbd6,0.377143664,6.325651718,5.871655324,7.24E-05,0.004579482,1.841415464
Med30,0.670962733,3.69892376,5.865846519,7.31E-05,0.004601058,1.832275751
Stk39,0.635555985,6.278819787,5.853435088,7.45E-05,0.004661105,1.81273058
Fgf1,-0.803627942,2.930700894,-5.851016939,7.48E-05,0.004661105,1.808919894
Gpn1,0.514516985,3.616842412,5.849235063,7.50E-05,0.004661105,1.806111337
Adh4,-1.619674309,2.851209605,-5.841985411,7.58E-05,0.004694112,1.794679743
Cobl,-0.935445122,8.046987998,-5.833106429,7.69E-05,0.004739589,1.780668353
Tsr2,0.552883819,3.361424432,5.807848344,8.00E-05,0.004909616,1.740746338
Ocrl,0.685986719,3.976298271,5.804251203,8.05E-05,0.004909616,1.735053156
Rxra,-0.563153821,7.1835618,-5.800318299,8.10E-05,0.004909616,1.728826375
Epop,1.239965381,-0.305153949,5.798753579,8.12E-05,0.004909616,1.726348392
Grwd1,0.713126843,4.101176532,5.797128157,8.14E-05,0.004909616,1.723773894
Nav1,0.87462524,4.410913143,5.794551521,8.17E-05,0.004909616,1.719691976
Nle1,0.673027017,3.40797844,5.788167183,8.25E-05,0.004938625,1.709573648
Tshz1,-0.449736124,4.943512168,-5.768829298,8.51E-05,0.00507058,1.678888944
Gm42523,-1.305787665,-0.798052786,-5.760070386,8.63E-05,0.005120019,1.664972431
Gm5796,4.26499075,-1.172060823,5.75004855,8.77E-05,0.005143355,1.649035443
Gm3667,2.263749936,0.42841711,5.748719674,8.78E-05,0.005143355,1.646921116
Dus2,0.703726887,3.23819324,5.747689475,8.80E-05,0.005143355,1.645281826
Kcnj2,-0.472585496,3.300717038,-5.745022623,8.84E-05,0.005143355,1.641037503
Eri3,0.371745641,4.817270614,5.741919264,8.88E-05,0.005143355,1.636097153
Noc4l,0.531131421,4.520675591,5.741719927,8.88E-05,0.005143355,1.635779773
E2f5,0.408637725,4.273439389,5.737771475,8.94E-05,0.005154838,1.629491921
Gm37324,-0.954197594,3.01680234,-5.71828039,9.22E-05,0.005290212,1.598418973
Piwil2,-0.981760571,0.944737741,-5.7163797,9.25E-05,0.005290212,1.595385871
Gm10340,2.630543012,0.812222163,5.710914998,9.33E-05,0.005315135,1.586662388
Msi1,1.12484007,4.410159747,5.702391624,9.45E-05,0.0053663,1.573047467
Kmo,-1.270063047,0.406727764,-5.6988165,9.51E-05,0.005375634,1.567333512
Gm7694,-0.497551088,2.909938282,-5.690324584,9.64E-05,0.005427357,1.55375373
Otulin,0.436604021,3.975518537,5.678823856,9.82E-05,0.005506034,1.535345509
Acer1,-0.873049717,2.792351244,-5.672272027,9.92E-05,0.00550886,1.524849862
Tmem132a,0.434519471,2.280448347,5.671994522,9.92E-05,0.00550886,1.524405176
Exosc2,0.520261141,4.317883743,5.671188629,9.94E-05,0.00550886,1.523113713
Cd44,-0.591809902,4.927582448,-5.662572267,0.000100733,0.005563574,1.509299821
Aldob,-0.87170033,12.12821531,-5.644985823,0.000103601,0.005690623,1.48107108
Ppp2r3a,-0.499374892,4.65562639,-5.643625706,0.000103826,0.005690623,1.478886005
Apex1,0.507324952,5.420976894,5.635489623,0.000105185,0.005740149,1.465809438
Pigyl,0.738877917,4.08925389,5.633445654,0.000105529,0.005740149,1.462522781
Nop56,0.697335009,6.507389488,5.629019401,0.000106279,0.005741053,1.455403359
Cry2,-0.937662789,2.819751296,-5.628628012,0.000106345,0.005741053,1.454773689
Gm31848,1.005778582,0.463055734,5.623525091,0.000107217,0.00576644,1.446562018
Slc22a1,-0.696670627,6.226211384,-5.616156744,0.000108489,0.005799385,1.434698058
Stk17b,-0.779084597,5.507031473,-5.614509929,0.000108776,0.005799385,1.432045391
Lnx1,-0.67104031,4.339866413,-5.612756719,0.000109082,0.005799385,1.429220907
Ptma,0.585500664,10.38335272,5.610680555,0.000109445,0.005799385,1.425875551
Csnk1e,0.578405795,3.697477503,5.598716482,0.000111564,0.005889945,1.406585334
Tnfsf13b,1.471055154,2.602336131,5.583760128,0.000114275,0.006005203,1.382441036
Trmt2a,0.44751446,4.772065668,5.582077429,0.000114584,0.006005203,1.379722575
Cenpm,0.567679245,2.592596197,5.540615379,0.000122489,0.006396167,1.312608363
Tgm2,0.554138527,7.273954056,5.531318571,0.00012434,0.006469259,1.297525245
Mgst1,-0.657459948,7.262653372,-5.521793206,0.000126266,0.006545767,1.282058239
Trim16,-0.493418963,4.336565432,-5.516651239,0.000127319,0.006576609,1.273703369
Bcl7c,0.440377241,4.526912006,5.506120024,0.000129504,0.006665521,1.256579809
Snu13,0.42648997,6.268929224,5.503662507,0.00013002,0.006668161,1.252581609
Hk1,0.543565128,2.364913595,5.500744314,0.000130635,0.006675866,1.24783278
Seh1l,0.384401615,6.086550855,5.496415989,0.000131553,0.006698941,1.240786935
Tbc1d25,0.480768902,3.075321131,5.488817724,0.000133181,0.006745403,1.22841154
Slc39a10,0.5677089,3.367570843,5.487309732,0.000133507,0.006745403,1.225954453
Tlcd1,0.611646783,3.457292382,5.485149762,0.000133975,0.006745403,1.222434476
Shank2,1.100757398,4.129049541,5.483448127,0.000134344,0.006745403,1.219660942
Fmn1,-0.743627644,4.96355965,-5.464172158,0.000138609,0.006924873,1.188213228
Wdr77,0.513780939,5.580224837,5.462956132,0.000138883,0.006924873,1.186227538
Gm3468,2.139647029,0.452156783,5.450628609,0.000141691,0.007040441,1.166085395
Grin1,1.628696886,-0.257865023,5.44831866,0.000142224,0.007042546,1.162308681
Grhl1,0.509407357,0.895470808,5.440573512,0.000144026,0.00708779,1.149639895
Mrto4,0.517075622,4.196091799,5.440151087,0.000144125,0.00708779,1.148948682
Nifk,0.552666948,5.090848864,5.437040786,0.000144856,0.007099421,1.143858508
Zfp566,0.598146257,0.524901673,5.433954782,0.000145585,0.007110882,1.138806714
Gm3946,-0.745414082,-0.584120725,-5.429889021,0.000146551,0.007125737,1.13214895
3110082I17Rik,0.481899405,2.369346687,5.428506419,0.000146881,0.007125737,1.129884368
Nolc1,0.732680316,6.238701483,5.422059779,0.000148431,0.00717668,1.119321678
Cd276,0.842888769,2.837392223,5.413827401,0.000150436,0.007244306,1.105824357
Arhgap27,-0.453756899,6.000145803,-5.412184515,0.000150839,0.007244306,1.103129607
Dmpk,0.74574972,2.885183517,5.402435632,0.000153256,0.007335861,1.087130939
Carmil1,-0.433225724,6.338994761,-5.398286416,0.000154297,0.007338016,1.080317596
9930012K11Rik,1.550027163,0.942902997,5.397697131,0.000154446,0.007338016,1.07934974
Ppp1r14d,0.871754974,6.3197669,5.396158076,0.000154834,0.007338016,1.076821728
1810028F09Rik,1.367800569,0.965840253,5.385017266,0.000157677,0.007448163,1.058511927
Rnf144b,-1.065099356,1.279802525,-5.382331867,0.00015837,0.007456391,1.054095827
Faim2,-1.689041502,-1.155678319,-5.375048097,0.000160267,0.007503268,1.042112547
Nop16,0.555318951,4.2094373,5.374500168,0.000160411,0.007503268,1.041210783
Exosc1,0.647114964,3.994633349,5.365015545,0.00016292,0.007587734,1.025594462
Tdp2,-0.567884325,5.838072335,-5.363689214,0.000163274,0.007587734,1.023409642
Hnrnpf,0.406387024,8.878523924,5.361504976,0.000163859,0.007590349,1.019811071
Zhx3,-0.635165369,4.760449563,-5.356386844,0.000165238,0.00762962,1.011376172
2610042L04Rik,4.034117799,-2.261857824,5.342050698,0.000169166,0.007785968,0.987729571
Wdr43,0.601620994,5.789275245,5.340030787,0.000169727,0.007786845,0.984395481
Eprs,0.557789845,6.890551206,5.333905314,0.000171441,0.007840444,0.974281123
Wdr75,0.566097128,4.526197346,5.32218112,0.000174774,0.007944336,0.954907189
Nans,0.553165863,6.426001109,5.3204008,0.000175286,0.007944336,0.951963535
Nufip1,0.411226,3.951758515,5.319117388,0.000175656,0.007944336,0.949841209
Zbtb43,-0.4693774,4.61733382,-5.318180619,0.000175926,0.007944336,0.948291962
Psg25,-1.028196132,0.929675262,-5.307856747,0.000178937,0.008041701,0.931209837
Slc45a3,3.961937101,0.268495324,5.306957512,0.000179202,0.008041701,0.92972122
