Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154087.946	24.880884	978195.693
NT_166280.1	169725	169533.946	0.060113	2.053
NT_166281.1	241735	241543.946	0.027598	1.343
NT_166282.1	153618	153426.946	0.000000	0.000
NT_162750.1	206961	206769.946	0.000000	0.000
NW_023337852.1	8412	8220.946	597.084197	988.871
NT_166338.1	40056	39864.946	0.250007	2.008
NC_000068.8	181755017	181754825.946	27.541878	1008467.223
NC_000069.7	159745316	159745124.946	36.428874	1172345.564
NC_000070.7	156860686	156860494.946	28.116229	888490.799
NT_187055.1	1976	1784.946	80.647458	29.000
NC_000071.7	151758149	151757957.946	36.911563	1128486.062
NT_187056.1	199368	199176.946	0.000000	0.000
NT_187057.1	205776	205584.946	0.000000	0.000
NT_187058.1	184189	183997.946	0.000000	0.000
NT_166438.1	195993	195801.946	0.000000	0.000
NT_187059.1	953012	952820.946	0.000000	0.000
NC_000072.7	149588044	149587852.946	23.787838	716858.762
NC_000073.7	144995196	144995004.946	54.831195	1601633.128
NT_166307.1	175968	175776.946	0.000000	0.000
NC_000074.7	130127694	130127502.946	25.839088	677374.078
NC_000075.7	124359700	124359508.946	29.788022	746281.984
NC_000076.7	130530862	130530670.946	26.402538	694289.390
NC_000077.7	121973369	121973177.946	55.231357	1357164.033
NC_000078.7	120092757	120092565.946	19.419216	469818.500
NC_000079.7	120883175	120882983.946	22.289967	542821.318
NC_000080.7	125139656	125139464.946	17.942684	452338.950
NC_000081.7	104073951	104073759.946	29.791594	624621.993
NC_000082.7	98008968	98008776.946	23.536347	464714.603
NC_000083.7	95294699	95294507.946	35.115241	674133.349
NC_000084.7	90720763	90720571.946	20.505956	374772.818
NC_000085.7	61420004	61419812.946	45.929951	568311.916
NC_000086.8	169476592	169476400.946	10.267651	350560.210
NT_165789.3	559103	558911.946	9.262513	1042.928
NC_000087.8	91455967	91455775.946	0.312066	5749.626
NT_187060.1	182347	182155.946	0.000000	0.000
NT_187061.1	259875	259683.946	0.000000	0.000
NT_187062.1	155838	155646.946	0.000000	0.000
NT_187063.1	158099	157907.946	0.000000	0.000
NT_166451.1	42057	41865.946	0.000000	0.000
NT_166462.1	31602	31410.946	27.433752	173.600
NT_166465.1	25871	25679.946	0.000000	0.000
NT_166466.1	23158	22966.946	250.018302	1156.797
NT_166467.1	38659	38467.946	0.000000	0.000
NT_166469.1	35240	35048.946	0.142239	1.004
NT_166474.1	24668	24476.946	0.000000	0.000
NT_166476.1	23629	23437.946	0.211786	1.000
NT_166478.1	24323	24131.946	0.000000	0.000
NT_166443.1	22974	22782.946	0.000000	0.000
NT_166444.1	31704	31512.946	0.000000	0.000
NT_166480.1	21240	21048.946	0.000000	0.000
NT_166456.1	28664	28472.946	0.176433	1.012
NT_166471.1	24685	24493.946	0.000000	0.000
NT_166473.1	28772	28580.946	0.000000	0.000
NT_166454.1	26764	26572.946	8.221264	44.011
NT_166463.1	72385	72193.946	0.000000	0.000
NT_166450.1	47073	46881.946	0.000000	0.000
NT_166452.1	20208	20016.946	0.000000	0.000
NT_187064.1	114452	114260.946	353.081245	8127.458
NW_023337853.1	31129	30937.946	216.350981	1348.443
NC_005089.1	16299	16107.946	997862.161972	3238120.472
