Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154085.388	23.856431	1075662.011
NT_166280.1	169725	169531.388	0.026540	1.040
NT_166281.1	241735	241541.388	0.046438	2.592
NT_166282.1	153618	153424.388	0.059539	2.111
NT_162750.1	206961	206767.388	0.043882	2.096
NW_023337852.1	8412	8218.388	349.171289	663.007
NT_166338.1	40056	39862.388	0.000000	0.000
NC_000068.8	181755017	181754823.388	20.139866	845736.784
NC_000069.7	159745316	159745122.388	25.497861	941074.601
NC_000070.7	156860686	156860492.388	27.385833	992503.921
NT_187055.1	1976	1782.388	41.281369	17.000
NC_000071.7	151758149	151757955.388	30.819884	1080625.405
NT_187056.1	199368	199174.388	0.113044	5.202
NT_187057.1	205776	205582.388	0.000000	0.000
NT_187058.1	184189	183995.388	0.024824	1.055
NT_166438.1	195993	195799.388	0.000000	0.000
NT_187059.1	953012	952818.388	0.000000	0.000
NC_000072.7	149588044	149587850.388	20.551515	710285.367
NC_000073.7	144995196	144995002.388	31.756071	1063830.641
NT_166307.1	175968	175774.388	0.000000	0.000
NC_000074.7	130127694	130127500.388	20.408495	613582.223
NC_000075.7	124359700	124359506.388	38.739314	1113072.921
NC_000076.7	130530862	130530668.388	22.707177	684807.359
NC_000077.7	121973369	121973175.388	42.698006	1203274.260
NC_000078.7	120092757	120092563.388	17.649661	489717.000
NC_000079.7	120883175	120882981.388	14.767859	412453.896
NC_000080.7	125139656	125139462.388	13.008218	376101.265
NC_000081.7	104073951	104073757.388	25.725757	618588.866
NC_000082.7	98008968	98008774.388	15.663319	354683.880
NC_000083.7	95294699	95294505.388	29.183521	642537.170
NC_000084.7	90720763	90720569.388	14.435028	302563.202
NC_000085.7	61420004	61419810.388	46.843926	664744.052
NC_000086.8	169476592	169476398.388	8.504113	332989.833
NT_165789.3	559103	558909.388	13.260284	1712.328
NC_000087.8	91455967	91455773.388	0.010865	229.588
NT_187060.1	182347	182153.388	0.000000	0.000
NT_187061.1	259875	259681.388	0.000000	0.000
NT_187062.1	155838	155644.388	0.000000	0.000
NT_187063.1	158099	157905.388	0.000000	0.000
NT_166451.1	42057	41863.388	0.103389	1.000
NT_166462.1	31602	31408.388	10.383526	75.350
NT_166465.1	25871	25677.388	0.000000	0.000
NT_166466.1	23158	22964.388	66.088297	350.649
NT_166467.1	38659	38465.388	0.562610	5.000
NT_166469.1	35240	35046.388	0.000000	0.000
NT_166474.1	24668	24474.388	0.707384	4.000
NT_166476.1	23629	23435.388	2.788154	15.097
NT_166478.1	24323	24129.388	0.000000	0.000
NT_166443.1	22974	22780.388	0.000000	0.000
NT_166444.1	31704	31510.388	0.000000	0.000
NT_166480.1	21240	21046.388	0.205737	1.000
NT_166456.1	28664	28470.388	0.000000	0.000
NT_166471.1	24685	24491.388	0.176723	1.000
NT_166473.1	28772	28578.388	1.052838	6.952
NT_166454.1	26764	26570.388	4.372934	26.845
NT_166463.1	72385	72191.388	0.000000	0.000
NT_166450.1	47073	46879.388	0.000000	0.000
NT_166452.1	20208	20014.388	0.000000	0.000
NT_187064.1	114452	114258.388	209.234096	5523.486
NW_023337853.1	31129	30935.388	168.136737	1201.741
NC_005089.1	16299	16105.388	998641.807649	3715982.205
