Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154083.451	25.253899	1019813.445
NT_166280.1	169725	169529.451	0.466895	16.379
NT_166281.1	241735	241539.451	0.185560	9.274
NT_166282.1	153618	153422.451	0.141863	4.504
NT_162750.1	206961	206765.451	0.072845	3.117
NW_023337852.1	8412	8216.451	306.006491	520.271
NT_166338.1	40056	39860.451	0.187972	1.550
NC_000068.8	181755017	181754821.451	29.555859	1111588.830
NC_000069.7	159745316	159745120.451	32.358974	1069638.396
NC_000070.7	156860686	156860490.451	27.634203	896964.300
NT_187055.1	1976	1780.451	37.999975	14.000
NC_000071.7	151758149	151757953.451	34.118103	1071398.380
NT_187056.1	199368	199172.451	0.000000	0.000
NT_187057.1	205776	205580.451	0.000000	0.000
NT_187058.1	184189	183993.451	0.000000	0.000
NT_166438.1	195993	195797.451	0.000000	0.000
NT_187059.1	953012	952816.451	0.000000	0.000
NC_000072.7	149588044	149587848.451	24.166306	748033.820
NC_000073.7	144995196	144995000.451	51.485583	1544732.568
NT_166307.1	175968	175772.451	0.000000	0.000
NC_000074.7	130127694	130127498.451	25.548190	687929.389
NC_000075.7	124359700	124359504.451	29.442915	757660.114
NC_000076.7	130530862	130530666.451	26.744705	722378.822
NC_000077.7	121973369	121973173.451	54.573233	1377395.467
NC_000078.7	120092757	120092561.451	18.368489	456461.544
NC_000079.7	120883175	120882979.451	20.509228	513013.875
NC_000080.7	125139656	125139460.451	17.015934	440620.521
NC_000081.7	104073951	104073755.451	28.801621	620258.612
NC_000082.7	98008968	98008772.451	21.211162	430173.887
NC_000083.7	95294699	95294503.451	33.488573	660357.530
NC_000084.7	90720763	90720567.451	19.277687	361888.949
NC_000085.7	61420004	61419808.451	42.502055	540173.193
NC_000086.8	169476592	169476396.451	11.260233	394885.563
NT_165789.3	559103	558907.451	10.016009	1158.375
NC_000087.8	91455967	91455771.451	0.060126	1137.853
NT_187060.1	182347	182151.451	0.000000	0.000
NT_187061.1	259875	259679.451	0.000000	0.000
NT_187062.1	155838	155642.451	0.000000	0.000
NT_187063.1	158099	157903.451	0.000000	0.000
NT_166451.1	42057	41861.451	0.000000	0.000
NT_166462.1	31602	31406.451	42.708088	277.552
NT_166465.1	25871	25675.451	0.000000	0.000
NT_166466.1	23158	22962.451	635.027201	3017.347
NT_166467.1	38659	38463.451	0.125643	1.000
NT_166469.1	35240	35044.451	0.000000	0.000
NT_166474.1	24668	24472.451	0.000000	0.000
NT_166476.1	23629	23433.451	0.412457	2.000
NT_166478.1	24323	24127.451	0.000000	0.000
NT_166443.1	22974	22778.451	0.000000	0.000
NT_166444.1	31704	31508.451	0.000000	0.000
NT_166480.1	21240	21044.451	0.459281	2.000
NT_166456.1	28664	28468.451	0.746340	4.397
NT_166471.1	24685	24489.451	0.000000	0.000
NT_166473.1	28772	28576.451	0.000000	0.000
NT_166454.1	26764	26568.451	17.863794	98.210
NT_166463.1	72385	72189.451	0.000000	0.000
NT_166450.1	47073	46877.451	0.000000	0.000
NT_166452.1	20208	20012.451	0.000000	0.000
NT_187064.1	114452	114256.451	252.487079	5969.453
NW_023337853.1	31129	30933.451	182.435195	1167.755
NC_005089.1	16299	16103.451	997939.280232	3325352.760
