Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154082.936	26.849149	1059054.894
NT_166280.1	169725	169528.936	0.000000	0.000
NT_166281.1	241735	241538.936	0.000000	0.000
NT_166282.1	153618	153421.936	0.000000	0.000
NT_162750.1	206961	206764.936	0.000000	0.000
NW_023337852.1	8412	8215.936	241.738955	401.434
NT_166338.1	40056	39859.936	0.000000	0.000
NC_000068.8	181755017	181754820.936	23.819327	875035.623
NC_000069.7	159745316	159745119.936	31.372411	1012944.828
NC_000070.7	156860686	156860489.936	33.694742	1068282.241
NT_187055.1	1976	1779.936	27.796198	10.000
NC_000071.7	151758149	151757952.936	37.319477	1144714.824
NT_187056.1	199368	199171.936	0.051279	2.064
NT_187057.1	205776	205579.936	0.000000	0.000
NT_187058.1	184189	183992.936	0.000000	0.000
NT_166438.1	195993	195796.936	0.000000	0.000
NT_187059.1	953012	952815.936	0.000000	0.000
NC_000072.7	149588044	149587847.936	25.358916	766720.889
NC_000073.7	144995196	144994999.936	36.108843	1058222.287
NT_166307.1	175968	175771.936	0.000000	0.000
NC_000074.7	130127694	130127497.936	23.364422	614517.741
NC_000075.7	124359700	124359503.936	47.284202	1188516.849
NC_000076.7	130530862	130530665.936	25.785329	680292.278
NC_000077.7	121973369	121973172.936	49.784446	1227349.639
NC_000078.7	120092757	120092560.936	22.505928	546290.099
NC_000079.7	120883175	120882978.936	17.444376	426217.131
NC_000080.7	125139656	125139459.936	14.798348	374298.272
NC_000081.7	104073951	104073754.936	30.834968	648627.002
NC_000082.7	98008968	98008771.936	20.518112	406455.168
NC_000083.7	95294699	95294502.936	34.152065	657801.893
NC_000084.7	90720763	90720566.936	17.178365	314990.816
NC_000085.7	61420004	61419807.936	52.827182	655807.234
NC_000086.8	169476592	169476395.936	9.979935	341859.187
NT_165789.3	559103	558906.936	13.318064	1504.496
NC_000087.8	91455967	91455770.936	0.004141	76.550
NT_187060.1	182347	182150.936	0.000000	0.000
NT_187061.1	259875	259678.936	0.000000	0.000
NT_187062.1	155838	155641.936	0.000000	0.000
NT_187063.1	158099	157902.936	0.000000	0.000
NT_166451.1	42057	41860.936	0.000000	0.000
NT_166462.1	31602	31405.936	8.745672	55.516
NT_166465.1	25871	25674.936	0.000000	0.000
NT_166466.1	23158	22961.936	39.537469	183.496
NT_166467.1	38659	38462.936	0.128632	1.000
NT_166469.1	35240	35043.936	0.000000	0.000
NT_166474.1	24668	24471.936	0.000000	0.000
NT_166476.1	23629	23432.936	0.000000	0.000
NT_166478.1	24323	24126.936	0.000000	0.000
NT_166443.1	22974	22777.936	0.000000	0.000
NT_166444.1	31704	31507.936	0.000000	0.000
NT_166480.1	21240	21043.936	0.000000	0.000
NT_166456.1	28664	28467.936	0.000000	0.000
NT_166471.1	24685	24488.936	0.000000	0.000
NT_166473.1	28772	28575.936	0.000000	0.000
NT_166454.1	26764	26567.936	2.112446	11.344
NT_166463.1	72385	72188.936	0.000000	0.000
NT_166450.1	47073	46876.936	0.000000	0.000
NT_166452.1	20208	20011.936	0.000000	0.000
NT_187064.1	114452	114255.936	208.594685	4817.174
NW_023337853.1	31129	30932.936	137.842003	861.813
NC_005089.1	16299	16102.936	998739.149913	3250629.218
