Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154089.349	25.267636	1044351.659
NT_166280.1	169725	169535.349	0.153739	5.520
NT_166281.1	241735	241545.349	0.029935	1.531
NT_166282.1	153618	153428.349	0.000000	0.000
NT_162750.1	206961	206771.349	0.025579	1.120
NW_023337852.1	8412	8222.349	371.742619	647.355
NT_166338.1	40056	39866.349	0.000000	0.000
NC_000068.8	181755017	181754827.349	26.845693	1033391.928
NC_000069.7	159745316	159745126.349	30.136073	1019574.038
NC_000070.7	156860686	156860496.349	27.938334	928150.901
NT_187055.1	1976	1786.349	52.863906	20.000
NC_000071.7	151758149	151757959.349	32.795742	1054079.685
NT_187056.1	199368	199178.349	0.000000	0.000
NT_187057.1	205776	205586.349	0.023636	1.029
NT_187058.1	184189	183999.349	0.000000	0.000
NT_166438.1	195993	195803.349	0.000000	0.000
NT_187059.1	953012	952822.349	0.004967	1.002
NC_000072.7	149588044	149587854.349	22.781227	721735.284
NC_000073.7	144995196	144995006.349	51.908419	1594025.802
NT_166307.1	175968	175778.349	0.000000	0.000
NC_000074.7	130127694	130127504.349	26.204184	722177.971
NC_000075.7	124359700	124359510.349	28.966034	762908.637
NC_000076.7	130530862	130530672.349	26.524558	733272.220
NC_000077.7	121973369	121973179.349	53.255496	1375730.230
NC_000078.7	120092757	120092567.349	17.939939	456290.682
NC_000079.7	120883175	120882985.349	20.316951	520149.525
NC_000080.7	125139656	125139466.349	16.860848	446866.917
NC_000081.7	104073951	104073761.349	27.891219	614770.820
NC_000082.7	98008968	98008778.349	21.803227	452574.684
NC_000083.7	95294699	95294509.349	32.226564	650408.758
NC_000084.7	90720763	90720573.349	18.744209	360145.008
NC_000085.7	61420004	61419814.349	41.275048	536908.883
NC_000086.8	169476592	169476402.349	10.840844	389113.987
NT_165789.3	559103	558913.349	9.786301	1158.424
NC_000087.8	91455967	91455777.349	0.028388	549.857
NT_187060.1	182347	182157.349	0.000000	0.000
NT_187061.1	259875	259685.349	0.000000	0.000
NT_187062.1	155838	155648.349	0.000000	0.000
NT_187063.1	158099	157909.349	0.000000	0.000
NT_166451.1	42057	41867.349	0.000000	0.000
NT_166462.1	31602	31412.349	20.685442	137.616
NT_166465.1	25871	25681.349	0.000000	0.000
NT_166466.1	23158	22968.349	488.082176	2374.254
NT_166467.1	38659	38469.349	0.000000	0.000
NT_166469.1	35240	35050.349	0.135392	1.005
NT_166474.1	24668	24478.349	0.192892	1.000
NT_166476.1	23629	23439.349	0.000000	0.000
NT_166478.1	24323	24133.349	0.000000	0.000
NT_166443.1	22974	22784.349	0.000000	0.000
NT_166444.1	31704	31514.349	0.000000	0.000
NT_166480.1	21240	21050.349	0.162759	0.726
NT_166456.1	28664	28474.349	0.000000	0.000
NT_166471.1	24685	24495.349	0.000000	0.000
NT_166473.1	28772	28582.349	0.165223	1.000
NT_166454.1	26764	26574.349	7.284785	41.000
NT_166463.1	72385	72195.349	0.000000	0.000
NT_166450.1	47073	46883.349	0.000000	0.000
NT_166452.1	20208	20018.349	0.000000	0.000
NT_187064.1	114452	114262.349	262.359789	6348.994
NW_023337853.1	31129	30939.349	141.944028	930.107
NC_005089.1	16299	16109.349	998083.806199	3405253.839
