Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154078.101	20.232528	1149030.524
NT_166280.1	169725	169524.101	0.000000	0.000
NT_166281.1	241735	241534.101	0.044262	3.111
NT_166282.1	153618	153417.101	0.000000	0.000
NT_162750.1	206961	206760.101	0.000000	0.000
NW_023337852.1	8412	8211.101	326.491409	780.148
NT_166338.1	40056	39855.101	0.000000	0.000
NC_000068.8	181755017	181754816.101	19.213613	1016245.787
NC_000069.7	159745316	159745115.101	21.480223	998550.791
NC_000070.7	156860686	156860485.101	24.050817	1097860.566
NT_187055.1	1976	1775.101	36.781278	19.000
NC_000071.7	151758149	151757948.101	25.994901	1148003.986
NT_187056.1	199368	199167.101	0.000000	0.000
NT_187057.1	205776	205575.101	0.000000	0.000
NT_187058.1	184189	183988.101	0.000000	0.000
NT_166438.1	195993	195792.101	0.000000	0.000
NT_187059.1	953012	952811.101	0.003620	1.004
NC_000072.7	149588044	149587843.101	18.304626	796821.344
NC_000073.7	144995196	144994995.101	28.424361	1199354.359
NT_166307.1	175968	175767.101	0.000000	0.000
NC_000074.7	130127694	130127493.101	24.406072	924210.172
NC_000075.7	124359700	124359499.101	31.374468	1135426.769
NC_000076.7	130530862	130530661.101	22.597473	858373.322
NC_000077.7	121973369	121973168.101	39.181802	1390760.998
NC_000078.7	120092757	120092556.101	14.211332	496654.825
NC_000079.7	120883175	120882974.101	13.788670	485055.356
NC_000080.7	125139656	125139455.101	12.509433	455549.599
NC_000081.7	104073951	104073750.101	21.975766	665562.772
NC_000082.7	98008968	98008767.101	14.125825	402886.345
NC_000083.7	95294699	95294498.101	27.151062	752936.646
NC_000084.7	90720763	90720562.101	13.357742	352648.931
NC_000085.7	61420004	61419803.101	37.092887	662983.685
NC_000086.8	169476592	169476391.101	8.226392	405716.222
NT_165789.3	559103	558902.101	11.665300	1897.298
NC_000087.8	91455967	91455766.101	0.046610	1240.492
NT_187060.1	182347	182146.101	0.000000	0.000
NT_187061.1	259875	259674.101	0.000000	0.000
NT_187062.1	155838	155637.101	0.000000	0.000
NT_187063.1	158099	157898.101	0.000000	0.000
NT_166451.1	42057	41856.101	0.164198	2.000
NT_166462.1	31602	31401.101	10.762121	98.344
NT_166465.1	25871	25670.101	0.000000	0.000
NT_166466.1	23158	22957.101	400.308970	2674.337
NT_166467.1	38659	38458.101	0.000000	0.000
NT_166469.1	35240	35039.101	0.000000	0.000
NT_166474.1	24668	24467.101	0.140447	1.000
NT_166476.1	23629	23428.101	0.293352	2.000
NT_166478.1	24323	24122.101	0.000000	0.000
NT_166443.1	22974	22773.101	0.000000	0.000
NT_166444.1	31704	31503.101	0.000000	0.000
NT_166480.1	21240	21039.101	0.000000	0.000
NT_166456.1	28664	28463.101	0.000000	0.000
NT_166471.1	24685	24484.101	0.000000	0.000
NT_166473.1	28772	28571.101	0.000000	0.000
NT_166454.1	26764	26563.101	7.862037	60.774
NT_166463.1	72385	72184.101	0.000000	0.000
NT_166450.1	47073	46872.101	0.000000	0.000
NT_166452.1	20208	20007.101	0.171819	1.000
NT_187064.1	114452	114251.101	184.398893	6130.875
NW_023337853.1	31129	30928.101	275.093321	2475.923
NC_005089.1	16299	16098.101	998308.072368	4676737.696
