Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154085.362	29.461283	1176525.288
NT_166280.1	169725	169531.362	0.000000	0.000
NT_166281.1	241735	241541.362	0.000000	0.000
NT_166282.1	153618	153424.362	0.000000	0.000
NT_162750.1	206961	206767.362	0.000000	0.000
NW_023337852.1	8412	8218.362	574.019615	965.348
NT_166338.1	40056	39862.362	0.000000	0.000
NC_000068.8	181755017	181754823.362	30.098502	1119445.092
NC_000069.7	159745316	159745122.362	24.645787	805642.316
NC_000070.7	156860686	156860492.362	29.877355	959020.050
NT_187055.1	1976	1782.362	46.610210	17.000
NC_000071.7	151758149	151757955.362	32.885916	1021253.057
NT_187056.1	199368	199174.362	0.000000	0.000
NT_187057.1	205776	205582.362	0.000000	0.000
NT_187058.1	184189	183995.362	0.000000	0.000
NT_166438.1	195993	195799.362	0.000000	0.000
NT_187059.1	953012	952818.362	0.000000	0.000
NC_000072.7	149588044	149587850.362	22.332239	683597.630
NC_000073.7	144995196	144995002.362	37.922355	1125175.570
NT_166307.1	175968	175774.362	0.000000	0.000
NC_000074.7	130127694	130127500.362	35.247484	938575.414
NC_000075.7	124359700	124359506.362	33.843328	861239.648
NC_000076.7	130530862	130530668.362	31.216554	833814.589
NC_000077.7	121973369	121973175.362	50.765673	1267087.023
NC_000078.7	120092757	120092563.362	17.568501	431740.506
NC_000079.7	120883175	120882981.362	18.536505	458527.077
NC_000080.7	125139656	125139462.362	16.649504	426351.263
NC_000081.7	104073951	104073757.362	27.460044	584809.519
NC_000082.7	98008968	98008774.362	19.910340	399314.972
NC_000083.7	95294699	95294505.362	33.145189	646338.955
NC_000084.7	90720763	90720569.362	18.190414	337691.647
NC_000085.7	61420004	61419810.362	46.395062	583112.295
NC_000086.8	169476592	169476398.362	11.270039	390846.835
NT_165789.3	559103	558909.362	12.218150	1397.394
NC_000087.8	91455967	91455773.362	0.032319	604.837
NT_187060.1	182347	182153.362	0.000000	0.000
NT_187061.1	259875	259681.362	0.000000	0.000
NT_187062.1	155838	155644.362	0.000000	0.000
NT_187063.1	158099	157905.362	0.000000	0.000
NT_166451.1	42057	41863.362	0.000000	0.000
NT_166462.1	31602	31408.362	19.065006	122.533
NT_166465.1	25871	25677.362	0.000000	0.000
NT_166466.1	23158	22964.362	537.665765	2526.613
NT_166467.1	38659	38465.362	0.000000	0.000
NT_166469.1	35240	35046.362	0.000000	0.000
NT_166474.1	24668	24474.362	0.000000	0.000
NT_166476.1	23629	23435.362	0.000000	0.000
NT_166478.1	24323	24129.362	0.000000	0.000
NT_166443.1	22974	22780.362	0.000000	0.000
NT_166444.1	31704	31510.362	0.000000	0.000
NT_166480.1	21240	21046.362	0.000000	0.000
NT_166456.1	28664	28470.362	0.000000	0.000
NT_166471.1	24685	24491.362	0.000000	0.000
NT_166473.1	28772	28578.362	0.000000	0.000
NT_166454.1	26764	26570.362	5.528927	30.061
NT_166463.1	72385	72191.362	0.000000	0.000
NT_166450.1	47073	46879.362	0.000000	0.000
NT_166452.1	20208	20014.362	0.000000	0.000
NT_187064.1	114452	114258.362	221.218501	5172.273
NW_023337853.1	31129	30935.362	114.890452	727.296
NC_005089.1	16299	16105.362	997901.328981	3288743.898
