Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154083.172	24.835201	1039747.420
NT_166280.1	169725	169529.172	0.000000	0.000
NT_166281.1	241735	241539.172	0.040211	2.084
NT_166282.1	153618	153422.172	0.000000	0.000
NT_162750.1	206961	206765.172	0.000000	0.000
NW_023337852.1	8412	8216.172	823.965712	1452.316
NT_166338.1	40056	39860.172	0.000000	0.000
NC_000068.8	181755017	181754821.172	24.762942	965540.989
NC_000069.7	159745316	159745120.172	25.334118	868192.285
NC_000070.7	156860686	156860490.172	33.145558	1115376.388
NT_187055.1	1976	1780.172	44.514791	17.000
NC_000071.7	151758149	151757953.172	31.482732	1024958.793
NT_187056.1	199368	199172.172	0.000000	0.000
NT_187057.1	205776	205580.172	0.000000	0.000
NT_187058.1	184189	183993.172	0.000000	0.000
NT_166438.1	195993	195797.172	0.000000	0.000
NT_187059.1	953012	952816.172	0.005113	1.045
NC_000072.7	149588044	149587848.172	23.064313	740149.386
NC_000073.7	144995196	144995000.172	36.796778	1144577.889
NT_166307.1	175968	175772.172	0.000000	0.000
NC_000074.7	130127694	130127498.172	36.878554	1029497.988
NC_000075.7	124359700	124359504.172	32.448601	865680.219
NC_000076.7	130530862	130530666.172	29.609464	829135.757
NC_000077.7	121973369	121973173.172	47.770020	1249977.744
NC_000078.7	120092757	120092561.172	17.259114	444648.818
NC_000079.7	120883175	120882979.172	18.169966	471196.238
NC_000080.7	125139656	125139460.172	16.435374	441221.229
NC_000081.7	104073951	104073755.172	26.271427	586553.221
NC_000082.7	98008968	98008772.172	19.433026	408590.177
NC_000083.7	95294699	95294503.172	31.487366	643704.756
NC_000084.7	90720763	90720567.172	17.577831	342100.402
NC_000085.7	61420004	61419808.172	41.360012	544968.810
NC_000086.8	169476592	169476396.172	10.437662	379485.335
NT_165789.3	559103	558907.172	10.964035	1314.597
NC_000087.8	91455967	91455771.172	0.024984	490.185
NT_187060.1	182347	182151.172	0.000000	0.000
NT_187061.1	259875	259679.172	0.000000	0.000
NT_187062.1	155838	155642.172	0.000000	0.000
NT_187063.1	158099	157903.172	0.000000	0.000
NT_166451.1	42057	41861.172	0.000000	0.000
NT_166462.1	31602	31406.172	18.525604	124.816
NT_166465.1	25871	25675.172	0.000000	0.000
NT_166466.1	23158	22962.172	568.783822	2801.836
NT_166467.1	38659	38463.172	0.000000	0.000
NT_166469.1	35240	35044.172	0.133882	1.007
NT_166474.1	24668	24472.172	0.000000	0.000
NT_166476.1	23629	23433.172	0.000000	0.000
NT_166478.1	24323	24127.172	0.000000	0.000
NT_166443.1	22974	22778.172	0.000000	0.000
NT_166444.1	31704	31508.172	0.000000	0.000
NT_166480.1	21240	21044.172	0.000000	0.000
NT_166456.1	28664	28468.172	0.000000	0.000
NT_166471.1	24685	24489.172	0.000000	0.000
NT_166473.1	28772	28576.172	0.000000	0.000
NT_166454.1	26764	26568.172	2.387187	13.606
NT_166463.1	72385	72189.172	0.000000	0.000
NT_166450.1	47073	46877.172	0.000000	0.000
NT_166452.1	20208	20012.172	0.233763	1.004
NT_187064.1	114452	114256.172	247.344739	6062.683
NW_023337853.1	31129	30933.172	116.167048	770.886
NC_005089.1	16299	16103.172	997622.349051	3446356.092
