Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154085.835	22.340525	1080029.379
NT_166280.1	169725	169531.835	0.000000	0.000
NT_166281.1	241735	241541.835	0.017484	1.046
NT_166282.1	153618	153424.835	0.000000	0.000
NT_162750.1	206961	206767.835	0.019923	1.020
NW_023337852.1	8412	8218.835	122.103101	248.600
NT_166338.1	40056	39862.835	0.000000	0.000
NC_000068.8	181755017	181754823.835	21.249406	956747.375
NC_000069.7	159745316	159745122.835	24.629427	974644.993
NC_000070.7	156860686	156860492.835	22.546871	876121.602
NT_187055.1	1976	1782.835	38.492243	17.000
NC_000071.7	151758149	151757955.835	28.791307	1082374.106
NT_187056.1	199368	199174.835	0.000000	0.000
NT_187057.1	205776	205582.835	0.000000	0.000
NT_187058.1	184189	183995.835	0.000000	0.000
NT_166438.1	195993	195799.835	0.000000	0.000
NT_187059.1	953012	952818.835	0.004280	1.010
NC_000072.7	149588044	149587850.835	21.916740	812151.072
NC_000073.7	144995196	144995002.835	31.099267	1117037.434
NT_166307.1	175968	175774.835	0.000000	0.000
NC_000074.7	130127694	130127500.835	17.422553	561623.697
NC_000075.7	124359700	124359506.835	30.501880	939658.716
NC_000076.7	130530862	130530668.835	19.911502	643844.705
NC_000077.7	121973369	121973175.835	39.200273	1184453.351
NC_000078.7	120092757	120092563.835	15.050805	447754.946
NC_000079.7	120883175	120882981.835	12.335350	369386.632
NC_000080.7	125139656	125139462.835	10.734852	332778.220
NC_000081.7	104073951	104073757.835	19.613690	505667.560
NC_000082.7	98008968	98008774.835	16.428880	398875.580
NC_000083.7	95294699	95294505.835	26.895278	634904.552
NC_000084.7	90720763	90720569.835	12.725697	285990.684
NC_000085.7	61420004	61419810.835	42.040828	639652.750
NC_000086.8	169476592	169476398.835	7.125576	299153.277
NT_165789.3	559103	558909.835	7.282158	1008.246
NC_000087.8	91455967	91455773.835	0.112943	2558.787
NT_187060.1	182347	182153.835	0.737437	33.276
NT_187061.1	259875	259681.835	0.000000	0.000
NT_187062.1	155838	155644.835	0.000000	0.000
NT_187063.1	158099	157905.835	0.484900	18.968
NT_166451.1	42057	41863.835	0.000000	0.000
NT_166462.1	31602	31408.835	11.099216	86.359
NT_166465.1	25871	25677.835	0.000000	0.000
NT_166466.1	23158	22964.835	30.749457	174.930
NT_166467.1	38659	38465.835	0.000000	0.000
NT_166469.1	35240	35046.835	0.000000	0.000
NT_166474.1	24668	24474.835	0.164936	1.000
NT_166476.1	23629	23435.835	1.860213	10.800
NT_166478.1	24323	24129.835	0.000000	0.000
NT_166443.1	22974	22780.835	0.000000	0.000
NT_166444.1	31704	31510.835	0.000000	0.000
NT_166480.1	21240	21046.835	0.383601	2.000
NT_166456.1	28664	28470.835	0.000000	0.000
NT_166471.1	24685	24491.835	0.000000	0.000
NT_166473.1	28772	28578.835	0.996771	7.057
NT_166454.1	26764	26570.835	4.875440	32.091
NT_166463.1	72385	72191.835	0.000000	0.000
NT_166450.1	47073	46879.835	0.000000	0.000
NT_166452.1	20208	20014.835	0.000000	0.000
NT_187064.1	114452	114258.835	109.109243	3088.274
NW_023337853.1	31129	30935.835	132.809488	1017.784
NC_005089.1	16299	16105.835	999096.136457	3986163.121
