Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154093.194	23.446603	1016472.181
NT_166280.1	169725	169539.194	0.034954	1.316
NT_166281.1	241735	241549.194	0.000000	0.000
NT_166282.1	153618	153432.194	0.000000	0.000
NT_162750.1	206961	206775.194	0.000000	0.000
NW_023337852.1	8412	8226.194	729.944690	1333.911
NT_166338.1	40056	39870.194	0.000000	0.000
NC_000068.8	181755017	181754831.194	23.054963	930868.410
NC_000069.7	159745316	159745130.194	24.750913	878328.071
NC_000070.7	156860686	156860500.194	31.646973	1102766.805
NT_187055.1	1976	1790.194	32.689275	13.000
NC_000071.7	151758149	151757963.194	30.321555	1022211.737
NT_187056.1	199368	199182.194	0.000000	0.000
NT_187057.1	205776	205590.194	0.000000	0.000
NT_187058.1	184189	184003.194	0.000000	0.000
NT_166438.1	195993	195807.194	0.000000	0.000
NT_187059.1	953012	952826.194	0.000000	0.000
NC_000072.7	149588044	149587858.194	22.244432	739189.136
NC_000073.7	144995196	144995010.194	34.335805	1105956.884
NT_166307.1	175968	175782.194	0.000000	0.000
NC_000074.7	130127694	130127508.194	32.264248	932671.212
NC_000075.7	124359700	124359514.194	31.696859	875655.232
NC_000076.7	130530862	130530676.194	27.164660	787688.989
NC_000077.7	121973369	121973183.194	46.077737	1248513.979
NC_000078.7	120092757	120092571.194	16.486492	439827.433
NC_000079.7	120883175	120882989.194	17.140336	460280.344
NC_000080.7	125139656	125139470.194	15.014077	417379.247
NC_000081.7	104073951	104073765.194	24.693526	570902.945
NC_000082.7	98008968	98008782.194	18.244454	397222.427
NC_000083.7	95294699	95294513.194	30.428426	644147.440
NC_000084.7	90720763	90720577.194	16.640416	335357.406
NC_000085.7	61420004	61419818.194	41.804883	570392.024
NC_000086.8	169476592	169476406.194	9.750178	367079.140
NT_165789.3	559103	558917.194	12.324141	1530.178
NC_000087.8	91455967	91455781.194	0.029451	598.336
NT_187060.1	182347	182161.194	0.000000	0.000
NT_187061.1	259875	259689.194	0.000000	0.000
NT_187062.1	155838	155652.194	0.000000	0.000
NT_187063.1	158099	157913.194	0.000000	0.000
NT_166451.1	42057	41871.194	0.107523	1.000
NT_166462.1	31602	31416.194	14.996190	104.658
NT_166465.1	25871	25685.194	0.000000	0.000
NT_166466.1	23158	22972.194	530.201486	2705.711
NT_166467.1	38659	38473.194	0.117027	1.000
NT_166469.1	35240	35054.194	0.000000	0.000
NT_166474.1	24668	24482.194	0.000000	0.000
NT_166476.1	23629	23443.194	0.000000	0.000
NT_166478.1	24323	24137.194	0.000000	0.000
NT_166443.1	22974	22788.194	0.000000	0.000
NT_166444.1	31704	31518.194	0.000000	0.000
NT_166480.1	21240	21054.194	0.000000	0.000
NT_166456.1	28664	28478.194	0.000000	0.000
NT_166471.1	24685	24499.194	0.000000	0.000
NT_166473.1	28772	28586.194	0.000000	0.000
NT_166454.1	26764	26578.194	2.651104	15.653
NT_166463.1	72385	72199.194	0.000000	0.000
NT_166450.1	47073	46887.194	0.000000	0.000
NT_166452.1	20208	20022.194	0.000000	0.000
NT_187064.1	114452	114266.194	215.928199	5481.066
NW_023337853.1	31129	30943.194	134.644068	925.530
NC_005089.1	16299	16113.194	997809.124356	3571634.597
